Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21
2010-03-23,2,8.3,27.0,0.0,,,S,WNW,6.0,19.0,79.0,23.0,1021.2,1018.6,,,12.1,26.1,No,No
2010-04-11,2,14.2,18.7,7.0,,,NW,W,17.0,35.0,86.0,43.0,1010.1,1010.2,8.0,2.0,15.9,17.8,Yes,No
2010-04-17,2,8.5,25.4,0.0,,,ENE,SSE,7.0,11.0,74.0,38.0,1027.8,1024.4,,,15.8,25.0,No,No
2010-04-28,2,9.7,17.3,1.6,,,NE,WNW,6.0,17.0,84.0,50.0,1022.0,1019.6,1.0,1.0,12.4,16.9,Yes,No
2010-05-09,2,5.7,19.5,0.0,,,E,SSE,7.0,4.0,99.0,54.0,1023.4,1019.6,8.0,1.0,9.2,18.6,No,No
2010-05-23,2,0.9,18.1,0.0,,,ESE,NNW,4.0,13.0,76.0,35.0,1023.5,1019.2,,,6.6,17.8,No,No
2010-05-27,2,5.7,16.6,0.2,,,,SSE,0.0,9.0,92.0,59.0,1019.6,1018.0,8.0,8.0,9.7,16.5,No,No
2010-06-10,2,4.9,12.9,2.4,,,WSW,WSW,15.0,19.0,85.0,57.0,1021.2,1021.1,,6.0,7.2,12.5,Yes,No
2010-06-14,2,-2.0,13.2,0.0,,,,E,0.0,6.0,85.0,50.0,1035.2,1032.0,,6.0,2.2,12.6,No,No
2010-06-18,2,3.0,12.2,2.2,,,NW,W,7.0,13.0,88.0,70.0,1019.6,1018.0,7.0,2.0,6.9,10.9,Yes,Yes
2010-06-19,2,6.9,15.2,1.8,,,WNW,NW,17.0,20.0,95.0,66.0,1019.4,1019.6,8.0,,10.3,14.4,Yes,No
2010-06-26,2,6.2,12.1,10.2,,,WNW,N,4.0,4.0,86.0,71.0,1020.5,1020.5,7.0,8.0,7.6,11.1,Yes,No
2010-07-18,2,0.7,12.8,0.0,,,NE,N,9.0,13.0,96.0,59.0,1023.1,1018.7,,1.0,5.2,12.1,No,Yes
2010-08-05,2,,11.8,,,,N,WNW,2.0,19.0,97.0,65.0,1019.5,1018.3,7.0,4.0,6.7,11.3,,No
2010-08-17,2,-1.0,12.1,3.8,,,,NE,0.0,9.0,87.0,55.0,1024.1,1020.4,,1.0,4.5,11.3,Yes,No
2010-09-13,2,6.0,18.7,0.4,,,E,WNW,7.0,17.0,88.0,47.0,1017.1,1014.8,,1.0,11.4,18.2,No,No
2010-09-16,2,7.5,13.4,0.0,,,W,W,20.0,28.0,64.0,49.0,1019.2,1017.0,6.0,3.0,10.2,13.1,No,No
2010-09-24,2,3.7,19.1,0.0,,,E,WNW,2.0,17.0,96.0,61.0,1023.9,1020.7,8.0,2.0,9.0,18.3,No,No
2010-09-28,2,5.4,14.6,0.0,,,WNW,WNW,11.0,22.0,65.0,49.0,1016.0,1015.1,,,10.4,13.5,No,No
2010-10-06,2,11.1,24.9,0.0,,,ESE,N,11.0,20.0,80.0,52.0,1019.8,1014.4,,,17.4,24.5,No,Yes
2010-10-09,2,5.4,20.8,0.0,,,SSW,ESE,2.0,4.0,83.0,49.0,1025.7,1023.6,1.0,,9.9,19.7,No,No
2010-10-11,2,7.6,23.7,0.0,,,SE,NNE,15.0,19.0,60.0,45.0,1030.9,1027.2,,,15.4,23.2,No,No
2010-10-20,2,5.7,21.8,0.0,,,,SSE,0.0,11.0,80.0,51.0,1028.7,1025.0,,,11.9,19.9,No,No
2010-11-15,2,15.9,23.1,2.4,,,W,W,19.0,19.0,84.0,32.0,1014.3,1011.7,7.0,,16.7,22.6,Yes,No
2010-11-20,2,12.0,27.3,0.0,,,E,SSE,7.0,9.0,63.0,39.0,1026.0,1022.1,,,18.3,25.5,No,No
2010-11-24,2,18.1,30.1,0.0,,,NNE,NNE,20.0,11.0,46.0,31.0,1021.8,1018.8,,,24.0,29.5,No,No
2010-12-13,2,10.5,26.2,0.0,,,ESE,SW,7.0,11.0,65.0,32.0,1014.3,1012.5,,,17.0,24.2,No,No
2010-12-26,2,17.5,30.0,1.0,,,E,W,6.0,30.0,75.0,35.0,1005.4,1000.5,2.0,,22.2,28.4,No,No
2011-01-11,2,21.6,26.4,1.4,,,SE,NNE,13.0,15.0,81.0,87.0,1011.7,1009.4,8.0,8.0,22.5,23.0,Yes,Yes
2011-01-29,2,14.5,32.0,0.0,,,ENE,NNW,7.0,9.0,59.0,32.0,1018.9,1017.2,,,21.5,30.2,No,No
2011-02-04,2,22.5,28.2,2.6,,,S,SE,4.0,9.0,80.0,99.0,1012.7,1011.1,,8.0,24.8,23.4,Yes,Yes
2011-02-23,2,12.6,28.0,0.2,,,ESE,W,7.0,11.0,66.0,43.0,1024.0,1020.0,,,16.8,26.7,No,No
2011-02-28,2,17.9,30.0,11.8,,,SSE,ESE,7.0,11.0,85.0,55.0,1007.8,1003.7,4.0,7.0,20.4,28.5,Yes,No
2011-03-05,2,11.5,25.0,0.0,,,SSE,E,19.0,13.0,58.0,30.0,1020.6,1019.4,,,15.6,24.9,No,No
2011-03-06,2,9.6,25.3,0.0,,,,S,0.0,9.0,68.0,38.0,1025.8,1022.8,,,15.0,23.6,No,No
2011-03-08,2,11.4,28.7,0.0,,,E,NNE,6.0,17.0,71.0,34.0,1017.5,1013.2,,2.0,16.8,28.0,No,No
2011-03-16,2,17.1,28.2,0.4,,,E,W,6.0,19.0,87.0,37.0,1017.3,1015.5,7.0,,19.8,28.0,No,No
2011-03-24,2,13.9,22.0,8.0,,,NNW,WNW,13.0,19.0,90.0,64.0,1003.7,1003.8,8.0,3.0,15.7,20.7,Yes,No
2011-03-25,2,13.3,22.1,0.0,,,W,WSW,17.0,17.0,77.0,49.0,1011.8,1012.6,3.0,8.0,14.9,20.9,No,No
2011-05-04,2,6.7,19.0,0.6,,,,NW,0.0,19.0,85.0,47.0,1019.6,1018.0,,,10.7,18.6,No,No
2011-05-18,2,2.3,17.9,0.0,,,E,ENE,7.0,7.0,99.0,48.0,1032.0,1029.2,1.0,,7.1,17.6,No,No
2011-05-22,2,5.8,22.0,0.0,,,,NE,0.0,20.0,94.0,53.0,1017.0,1009.3,6.0,6.0,10.2,20.4,No,Yes
2011-05-25,2,3.1,14.7,0.0,,,S,SE,11.0,17.0,74.0,47.0,1017.3,1016.1,,,7.3,14.3,No,No
2011-05-26,2,1.3,14.9,0.0,,,,WSW,0.0,20.0,75.0,52.0,1020.5,1018.6,,,6.6,13.6,No,No
2011-06-05,2,2.2,12.0,0.0,,,,N,0.0,15.0,98.0,75.0,1018.7,1014.7,8.0,2.0,6.7,11.5,No,Yes
2011-06-08,2,1.5,10.2,2.6,,,WNW,W,13.0,22.0,89.0,63.0,1019.2,1017.3,8.0,8.0,3.0,9.7,Yes,No
2011-06-18,2,5.7,12.5,0.2,,,WNW,WNW,13.0,11.0,91.0,85.0,1015.1,1014.5,8.0,8.0,7.9,11.1,No,No
2011-07-03,2,2.9,14.8,0.0,,,ESE,S,6.0,7.0,98.0,80.0,1018.7,1014.3,8.0,7.0,6.3,12.8,No,Yes
2011-07-04,2,6.3,14.8,15.4,,,N,NW,7.0,35.0,85.0,54.0,1013.2,1009.1,6.0,6.0,10.7,14.1,Yes,Yes
2011-07-06,2,7.0,10.8,1.2,,,NW,NNW,17.0,19.0,94.0,87.0,1010.8,1007.7,8.0,8.0,7.9,10.0,Yes,Yes
2011-07-15,2,-1.6,12.1,0.0,,,,E,0.0,7.0,95.0,46.0,1036.6,1033.3,,,2.6,12.0,No,No
2011-07-24,2,1.6,9.3,0.2,,,,E,0.0,11.0,93.0,81.0,1021.0,1018.2,,8.0,5.5,8.9,No,Yes
2011-08-07,2,5.3,11.1,4.2,,,WNW,SSW,9.0,7.0,96.0,84.0,1016.4,1013.2,,,7.6,9.6,Yes,Yes
2011-08-08,2,7.1,12.3,8.2,,,S,W,6.0,13.0,95.0,76.0,1011.9,1009.5,7.0,,7.6,9.7,Yes,Yes
2011-08-17,2,7.1,12.6,5.6,,,SE,NE,4.0,28.0,95.0,91.0,1011.8,1005.7,,,10.4,11.8,Yes,Yes
2011-08-22,2,1.8,17.7,0.0,,,NNE,NW,6.0,7.0,79.0,47.0,1039.9,1036.0,,,8.8,17.1,No,No
2011-09-27,2,7.0,21.3,0.0,,,ESE,NE,7.0,20.0,72.0,44.0,1019.9,1014.4,8.0,,13.3,20.5,No,No
2011-10-14,2,10.0,24.3,0.0,,,ESE,NE,11.0,13.0,74.0,54.0,1017.2,1012.3,,,15.8,23.3,No,No
2011-11-01,2,9.3,24.8,0.0,,,ESE,WNW,9.0,15.0,62.0,39.0,1019.8,1015.2,,,15.7,23.4,No,No
2011-11-02,2,11.4,22.2,0.0,,,W,WSW,11.0,28.0,64.0,51.0,1013.9,1011.1,,,14.9,21.2,No,No
2011-11-12,2,12.5,27.0,0.0,,,ENE,WSW,6.0,19.0,65.0,32.0,1019.0,1016.0,,,18.8,26.7,No,No
2011-11-20,2,17.4,22.8,0.0,,,WNW,WNW,28.0,24.0,92.0,44.0,1011.4,1013.6,8.0,,17.5,20.7,No,No
2011-11-26,2,15.0,25.0,44.0,,,NE,,13.0,,83.0,,1006.2,,3.0,,20.0,,Yes,Yes
2011-12-04,2,9.7,22.9,0.0,,,SSE,SE,28.0,15.0,50.0,35.0,1015.8,1014.8,,,16.9,21.4,No,No
2011-12-29,2,13.8,29.7,0.0,,,SSE,SSE,11.0,11.0,49.0,28.0,1014.5,1012.5,,,20.8,27.9,No,No
2011-12-31,2,15.8,31.8,0.0,,,E,W,6.0,24.0,54.0,36.0,1019.8,1015.9,,,22.6,29.3,No,No
2012-01-10,2,10.8,24.8,0.0,,,W,W,17.0,30.0,57.0,30.0,1011.2,1008.7,,1.0,17.9,23.5,No,No
2012-01-13,2,9.9,28.3,0.0,,,SSE,WSW,7.0,19.0,62.0,31.0,1016.4,1013.3,,,16.6,26.5,No,No
2012-01-20,2,20.1,36.2,0.0,,,ESE,W,9.0,19.0,58.0,23.0,1014.2,1010.2,,,25.3,34.4,No,No
2012-01-24,2,16.3,32.8,0.0,,,SSE,WSW,11.0,7.0,55.0,30.0,1017.4,1012.9,,,21.1,31.1,No,No
2012-02-02,2,15.2,29.4,0.0,,,SE,NNE,22.0,7.0,55.0,32.0,1011.2,1006.8,,,20.1,28.5,No,No
2012-02-21,2,13.5,28.9,1.4,,,SE,NNW,11.0,7.0,72.0,36.0,1012.6,1010.6,,8.0,19.3,27.7,Yes,No
2012-02-22,2,14.5,30.5,0.0,,,SSE,W,11.0,7.0,65.0,37.0,1015.0,1012.7,,3.0,19.5,28.4,No,No
2012-03-03,2,18.8,19.6,0.0,,,SE,ESE,7.0,15.0,62.0,92.0,1014.2,1011.1,8.0,8.0,19.3,17.1,No,Yes
2012-03-09,2,12.1,27.1,0.4,,,,WNW,0.0,24.0,76.0,46.0,1011.1,1009.6,,4.0,16.7,26.1,No,No
2012-03-17,2,12.6,24.4,17.4,,,SSW,W,6.0,11.0,98.0,50.0,1016.0,1014.9,2.0,,14.5,23.8,Yes,No
2012-03-20,2,12.4,28.4,0.0,,,ESE,NNE,7.0,15.0,74.0,47.0,1018.6,1013.1,,2.0,17.6,26.9,No,No
2012-03-24,2,8.9,19.7,0.4,,,W,W,17.0,22.0,79.0,54.0,1015.0,1015.4,7.0,5.0,11.1,17.5,No,No
2012-03-26,2,7.7,23.0,0.0,,,S,NW,4.0,17.0,90.0,45.0,1023.0,1020.6,,1.0,11.1,22.3,No,No
2012-03-27,2,10.6,22.0,0.0,,,SSE,N,4.0,6.0,86.0,57.0,1022.7,1020.6,,,13.5,21.1,No,No
2012-04-14,2,6.7,19.8,0.0,,,,SE,0.0,9.0,82.0,63.0,1028.0,1023.9,,1.0,11.8,19.6,No,No
2012-04-27,2,5.5,19.6,0.0,,,WNW,WNW,4.0,7.0,100.0,58.0,1023.0,1021.2,8.0,6.0,9.4,19.2,No,No
2012-04-28,2,5.4,19.6,0.0,,,,WNW,0.0,17.0,100.0,56.0,1022.9,1019.2,8.0,,10.3,19.2,No,No
2012-05-03,2,2.0,14.7,1.6,,,W,WNW,19.0,20.0,80.0,53.0,1022.9,1020.8,,1.0,8.1,13.8,Yes,No
2012-05-07,2,4.0,14.5,0.0,,,WSW,E,4.0,11.0,99.0,68.0,1021.1,1017.5,8.0,5.0,8.0,13.8,No,No
2012-05-17,2,2.3,16.7,0.0,,,,ESE,0.0,7.0,100.0,51.0,1026.3,1022.7,7.0,,5.7,15.5,No,No
2012-05-24,2,7.8,17.0,0.0,,,E,S,4.0,11.0,82.0,96.0,1017.5,1015.2,2.0,8.0,10.9,11.8,No,Yes
2012-06-05,2,6.2,16.0,6.0,,,S,SE,20.0,28.0,63.0,52.0,1003.3,1008.5,,,14.3,14.8,Yes,No
2012-06-09,2,0.0,14.8,0.0,,,S,SE,2.0,6.0,100.0,64.0,1028.2,1025.2,7.0,5.0,3.0,12.5,No,No
2012-06-10,2,0.2,15.6,0.0,,,,SSW,0.0,6.0,100.0,50.0,1027.5,1024.4,8.0,1.0,4.0,15.1,No,No
2012-06-19,2,5.6,14.2,2.8,,,NW,W,17.0,15.0,87.0,53.0,1022.2,1021.0,1.0,,10.8,13.7,Yes,No
2012-06-23,2,-1.7,10.6,0.8,,,SE,NW,4.0,17.0,100.0,68.0,1025.1,1025.3,8.0,8.0,0.3,10.4,No,No
2012-06-24,2,0.2,11.3,0.4,,,NNW,WNW,9.0,9.0,98.0,89.0,1031.1,1029.9,8.0,8.0,8.0,10.9,No,Yes
2012-06-25,2,3.1,13.3,1.4,,,NE,W,9.0,20.0,100.0,81.0,1031.0,1028.4,8.0,8.0,7.7,12.0,Yes,No
2012-07-01,2,3.7,9.6,3.8,,,N,WNW,7.0,9.0,100.0,91.0,1016.2,1014.7,8.0,8.0,6.5,8.2,Yes,Yes
2012-07-31,2,-1.3,13.9,0.0,,,,ENE,0.0,9.0,80.0,47.0,1029.1,1025.5,,,4.8,12.4,No,No
2012-08-01,2,-0.5,13.7,0.2,,,,W,0.0,9.0,76.0,50.0,1025.4,1022.5,,2.0,6.0,13.4,No,No
2012-08-04,2,1.5,14.9,0.0,,,,W,0.0,9.0,99.0,62.0,1018.6,1015.9,7.0,8.0,5.8,13.8,No,Yes
2012-08-11,2,-0.7,16.6,0.0,,,,ESE,0.0,9.0,87.0,47.0,1027.3,1024.9,,,4.9,15.2,No,No
2012-08-16,2,6.2,14.7,0.6,,,,NW,0.0,17.0,88.0,63.0,1015.0,1010.3,8.0,8.0,9.0,13.2,No,Yes
2012-08-17,2,6.4,11.7,13.4,,,NNW,NW,19.0,31.0,95.0,69.0,1003.7,1001.3,7.0,8.0,6.8,10.6,Yes,Yes
2012-08-28,2,1.2,15.3,0.0,,,SSE,ENE,2.0,11.0,87.0,55.0,1024.9,1019.9,,,7.6,14.8,No,No
2012-09-18,2,5.0,16.5,0.0,,,SW,SE,11.0,13.0,85.0,68.0,1017.4,1013.4,8.0,4.0,11.2,15.4,No,Yes
2012-09-23,2,4.2,20.7,0.0,,,ESE,WNW,11.0,30.0,79.0,45.0,1009.4,1008.3,1.0,3.0,13.0,18.9,No,No
2012-09-25,2,0.8,17.7,0.0,,,,SE,0.0,9.0,67.0,43.0,1022.8,1018.8,,,9.5,16.5,No,No
2012-10-09,2,3.5,18.3,0.0,,,,WNW,0.0,15.0,80.0,47.0,1013.5,1010.8,,1.0,9.9,17.7,No,No
2012-10-11,2,7.4,11.6,0.8,,,SSE,S,9.0,13.0,89.0,85.0,1007.5,1008.0,8.0,8.0,8.8,10.2,No,Yes
2012-10-22,2,5.8,19.0,0.0,,,S,ESE,11.0,15.0,56.0,34.0,1020.6,1021.8,,,12.0,18.0,No,No
2012-11-01,2,17.3,20.6,0.0,,,W,WSW,22.0,33.0,53.0,47.0,1007.0,1008.6,3.0,8.0,20.4,19.3,No,No
2012-11-12,2,9.3,31.6,0.0,,,SE,N,7.0,19.0,68.0,31.0,1021.7,1015.5,,,18.2,29.4,No,No
2012-11-17,2,9.0,24.2,0.0,,,SSE,SSE,11.0,13.0,57.0,44.0,1015.0,1011.4,,2.0,16.2,23.3,No,No
2012-11-22,2,10.9,27.4,0.0,,,SE,W,13.0,17.0,47.0,27.0,1016.0,1013.9,,,18.0,26.2,No,No
2013-01-04,2,18.6,40.7,0.0,,,ESE,N,7.0,24.0,44.0,12.0,1012.3,1008.1,,,27.8,39.3,No,No
2013-01-06,2,20.9,42.0,12.6,,,ENE,SW,4.0,15.0,40.0,22.0,1017.6,1014.3,,,29.2,40.7,Yes,No
2013-01-07,2,21.9,40.4,0.0,,,E,ENE,11.0,24.0,47.0,22.0,1018.2,1012.4,,,29.7,38.2,No,No
2013-01-10,2,11.2,32.2,0.0,,,SE,SSE,9.0,11.0,48.0,24.0,1007.8,1006.0,,,20.1,29.5,No,No
2013-01-11,2,14.5,38.8,0.0,,,SE,NNW,7.0,19.0,48.0,12.0,1007.6,1004.1,,,23.0,36.4,No,No
2013-01-17,2,15.5,39.9,0.0,,,SSE,S,6.0,9.0,46.0,11.0,1009.4,1005.0,,,24.6,37.7,No,No
2013-01-18,2,18.9,43.1,0.0,,,ESE,W,7.0,30.0,38.0,12.0,999.9,998.5,,,27.0,40.6,No,No
2013-01-24,2,15.9,37.0,0.0,,,ESE,NE,9.0,15.0,56.0,23.0,1015.2,1010.4,,,24.1,35.0,No,No
2013-01-28,2,18.4,34.7,0.0,,,SSE,WNW,7.0,9.0,61.0,36.0,1007.6,1003.9,5.0,2.0,23.1,32.3,No,No
2013-03-09,2,18.6,33.0,0.0,,,SSE,ENE,6.0,9.0,65.0,32.0,1019.8,1016.0,,,22.7,31.8,No,No
2013-03-10,2,19.7,35.1,0.0,,,S,WNW,4.0,7.0,65.0,24.0,1018.6,1015.5,1.0,,22.5,34.5,No,No
2013-03-26,2,14.9,31.3,0.0,,,,NNW,0.0,13.0,70.0,29.0,1017.9,1014.1,,,18.3,30.4,No,No
2013-03-27,2,13.8,35.1,0.0,,,SSE,NNE,2.0,22.0,69.0,27.0,1015.7,1011.0,,1.0,18.4,34.1,No,Yes
2013-04-02,2,8.5,23.8,0.0,,,SSE,WSW,6.0,17.0,83.0,49.0,1018.6,1016.5,,4.0,12.1,22.4,No,No
2013-04-08,2,11.5,26.0,0.0,,,E,S,2.0,9.0,67.0,44.0,1026.0,1023.3,,8.0,17.5,24.4,No,No
2013-04-23,2,10.9,20.0,1.6,,,NNW,WSW,7.0,20.0,85.0,47.0,1014.2,1014.2,8.0,,13.5,18.2,Yes,No
2013-04-25,2,5.7,20.5,0.0,,,E,W,2.0,15.0,83.0,48.0,1023.9,1021.4,7.0,3.0,10.2,19.3,No,No
2013-04-29,2,7.9,15.8,0.2,,,,NW,0.0,2.0,92.0,77.0,1024.2,1024.4,8.0,7.0,12.1,15.6,No,Yes
2013-05-03,2,1.7,20.6,0.0,,,ENE,NNW,7.0,6.0,79.0,35.0,1027.4,1020.9,,,9.1,20.4,No,No
2013-05-14,2,1.9,11.6,4.6,,,,NNW,0.0,15.0,100.0,82.0,1015.8,1013.7,8.0,8.0,6.1,11.2,Yes,Yes
2013-05-17,2,3.5,14.9,1.6,,,W,WNW,11.0,9.0,100.0,71.0,1015.9,1014.4,7.0,5.0,7.8,14.6,Yes,No
2013-05-25,2,-0.2,16.3,0.0,,,,WNW,0.0,11.0,100.0,57.0,1026.6,1024.8,8.0,,4.6,15.8,No,No
2013-05-28,2,2.7,18.0,0.2,,,,SE,0.0,11.0,79.0,62.0,1031.6,1027.7,,1.0,9.9,17.4,No,No
2013-06-15,2,1.2,15.4,0.2,,,NW,E,4.0,7.0,93.0,51.0,1016.8,1016.7,,1.0,5.7,14.0,No,No
2013-06-18,2,3.1,15.5,0.6,,,WNW,WSW,2.0,11.0,100.0,63.0,1016.5,1016.0,5.0,6.0,7.0,14.5,No,No
2013-06-22,2,-1.3,13.9,0.0,,,ESE,S,6.0,7.0,87.0,53.0,1026.1,1024.8,,,3.9,13.7,No,No
2013-06-25,2,7.8,17.0,1.0,,,SSE,SSE,19.0,17.0,56.0,51.0,1023.0,1020.9,,,12.8,16.8,No,No
2013-07-12,2,1.5,15.8,0.0,,,NNW,ESE,4.0,7.0,100.0,64.0,1032.0,1028.3,3.0,8.0,5.1,14.4,No,No
2013-07-18,2,12.1,20.5,0.0,,,NE,NE,17.0,22.0,73.0,69.0,1019.1,1013.7,,1.0,16.1,19.1,No,Yes
2013-07-26,2,3.5,12.8,0.0,,,S,ESE,7.0,11.0,98.0,63.0,1029.4,1027.2,8.0,7.0,5.9,11.7,No,No
2013-07-27,2,0.3,13.9,0.0,,,,SE,0.0,9.0,100.0,69.0,1030.1,1027.1,6.0,,5.1,13.4,No,No
2013-08-13,2,4.6,14.5,1.2,,,WNW,NW,17.0,15.0,79.0,57.0,1015.8,1014.9,8.0,8.0,9.1,12.6,Yes,No
2013-08-14,2,7.4,18.4,0.0,,,N,NW,13.0,20.0,65.0,58.0,1011.6,1005.9,,8.0,11.8,15.7,No,Yes
2013-08-21,2,2.2,11.0,0.2,,,WSW,WNW,11.0,11.0,94.0,67.0,1018.4,1015.5,8.0,8.0,6.4,10.4,No,Yes
2013-08-30,2,10.2,18.5,3.6,,,NW,WNW,15.0,13.0,67.0,61.0,1016.5,1015.0,,7.0,14.9,17.2,Yes,No
2013-09-05,2,11.9,22.6,0.0,,,E,NNE,4.0,11.0,79.0,51.0,1027.8,1024.5,,2.0,17.0,21.7,No,No
2013-09-09,2,7.9,23.4,0.0,,,E,NNE,7.0,17.0,73.0,47.0,1019.1,1010.2,,,12.6,22.0,No,No
2013-09-18,2,11.2,18.7,0.2,,,WNW,NW,11.0,11.0,92.0,76.0,1003.0,999.6,8.0,8.0,13.3,16.0,No,Yes
2013-09-23,2,6.1,23.9,0.2,,,SE,ENE,7.0,17.0,77.0,47.0,1011.0,1006.0,,,14.2,23.0,No,No
